id,text,question,answer
0,1.区人民政府应根据《江州市粮食应急预案》及时修订本区的粮食应急预案，并报市粮食应急工作指挥部办公室备案。,区人民政府应根据《江州市粮食应急预案》及时修订本区的什么预案？,粮食应急预案
1,把保证人民群众的生命安全和身体健康作为重大动物疫病应急处理工作的出发点和落脚点，按照有关法律、法规的规定实施应急处理。区委、区政府统一领导和指挥全区重大动物疫病应急处理工作；各镇人民政府、街道办事处、功能区管委会负责辖区内重大动物疫病应急处理工作；各有关部门按照预案规定的职责做好疫情应急处理工作。,负责辖区内重大动物疫病应急处理工作？,各镇人民政府||街道办事处||功能区管委会
2,区政府各有关部门，要建立和完善重大动物疫情应急体系、应急反应机制和应急处置机制，提高重大动物疫情处理能力。发生重大动物疫情时，要迅速做出反应，采取果断措施，及时控制和扑灭重大动物疫情，最大程度地减少突发动物疫病灾害造成的损失。,哪个机构要建立和完善重大动物疫情应急体系、应急反应机制和应急处置机制？,区政府各有关部门
3,发生重大动物疫情时，长凌区控制重大动物疫病指挥部（以下简称区指挥部）负责指挥协调疫情应急处理工作。各涉农镇、街也要成立控制重大动物疫病指挥部作为本辖区重大动物疫情应急指挥部（以下简称基层指挥部）。,哪个机构负责指挥协调疫情应急处理工作？,长凌区控制重大动物疫病指挥部
4,区指挥部由区政府主管领导任指挥长，政府办主任任常务副指挥长、区农业局局长、区财政局局长任副指挥长。区指挥部成员单位由区政府办、区农业局、区财政局、区卫生局、区公安局、区发改委、区商务委、区民政局、区建设和交通局、区环保和市容局、区综合执法局、区工商局、区食药监局、区教育局以及涉农街镇等部门组成。,区指挥部由谁担任指挥长？,区政府主管领导
5,区农业局：参与组织协调动物疫病灾害应急处置工作，并对日常防控工作提出意见和建议；负责组织制定动物疫病灾害控制和扑灭的技术方案；调集动物防疫和防疫监督有关人员开展疫情控制工作；组织做好疫情的监测、预报、开展流行病学调查和疫源追踪；对疫情进行全面评估，提出启动、停止应急预案建议；迅速将疫情上报到市级指挥机构进行全面评估、诊断疫病；划定疫点、疫区、受威胁区，提出封锁建议，并参与组织实施；负责陆生野生动物疫源疫病监测防控工作；组织建立紧急防疫物资储备库，储备疫苗、药品、诊断试剂、器械、防护用品，交通工具等；评估疫情处理及补贴所需资金，安排资金使用计划；组织成立疫情处理预备队；研究落实恢复畜牧业生产的政策建议。,哪个机构参与组织协调动物疫病灾害应急处置工作？,区农业局
6,区财政局：负责保障免疫、监测、消毒、扑杀、无害化处理等疫情应急处置所需经费，保证防疫经费及时、足额到位，并做好对经费使用的监督管理。,哪个机构负责保障疫情应急处置所需经费？,区财政局
7,区卫生局：负责做好高危人群的健康教育，对患病动物的密切接触人群进行医学观察，开展人畜共患疾病的人间疫情监测和预防工作，指导疫区内相关人员的个人防护。,哪个机构负责做好高危人群的健康教育？,区卫生局
8,区公安局：负责密切注视与疫情有关的社会动态，做好疫区封锁、动物扑杀等疫区安全保卫和社会治安管理，依法、及时、妥善地处置与疫情有关的突发事件，查处打击违法犯罪活动，维护社会稳定。,哪个机构负责密切注视与疫情有关的社会动态？,区公安局
9,区发展改革委：负责安排重大动物疫病防控建设项目、协调防护用品以及生活必需品应急生产。,哪个机构负责安排重大动物疫病防控建设项目？,区发展改革委
10,区商务委：加强市场供需监测，适时组织市场调控，维护市场秩序；配合畜牧兽医、食药监管部门做好其他省市输入我区畜禽产品监督管理。,哪个机构配合畜牧兽医、食药监管部门做好其他省市输入我区畜禽产品监督管理？,区商务委
11,区教育局：负责学校、幼儿园等集中人群的安全防范，开展重大动物疫情应急知识的普及教育，指导学生以科学的行为方式对待和防范重大动物疫情。督促所属单位向当地动物防疫部门报告疫情，接受动物防疫机构监督管理；监督管理信鸽放飞工作。,哪个机构开展重大动物疫情应急知识的普及教育？,区教育局
12,区民政局：负责对受疫情灾害群众的基本生活救助；接受、分配国内外各界针对重大动物疫情的捐助资金和物资，做好款物管理和发放工作；根据需要，统一组织开展社会捐助。,哪个机构负责对受疫情灾害群众的基本生活救助？,社会捐助
13,区建设和交通局：负责协调有关单位、部门优先安排紧急防疫物资的调运，配合农业部门做好运输环节动物及动物产品的监督检查；负责监督管理广场鸽放飞工作。,哪个机构负责监督管理广场鸽放飞工作？,区建设和交通局
14,区工商局：做好疫区、受威胁区内易感动物及其产品交易市场监管工作，打击市场内违法经营动物和动物产品行为。,哪个机构打击市场内违法经营动物和动物产品行为？,区工商局
15,区食药监局：负责医药及防护用品质量的监督管理；对辖区内餐饮服务单位的肉类食品及肉类食品加工企业进行监督管理。,哪个机构负责医药及防护用品质量的监督管理？,区食药监局
16,区指挥部下设办公室，办公室设在区农业局，指挥部成员单位各确定一名联络员，保证各成员单位间信息畅通。办公室主任由区农业局局长担任，主管局长任副主任。其主要职责是：,区农业局局长担任什么职务？,办公室主任
17,1.疫情处置现场指挥部：重大动物疫情发生后，区指挥部根据工作需要成立疫情处置现场指挥部，负责组织落实指挥部的决定，组织协调现场各工作部门和人员实施重大动物疫情的应急处理工作。,区指挥部根据工作需要成立什么机构？,疫情处置现场指挥部
18,各级动物防疫监督机构、从事动物饲养、经营及其产品生产经营的单位和个人、村级防疫员以及一般群众等，发现可疑疫情时，立即上报。区应急指挥部办公室负责各类信息的最终收集、汇总、核实、报告。,哪个机构负责各类信息的最终收集？,区应急指挥部办公室
19,1.疫情确诊后，区指挥部办公室立即划定疫点、疫区、受威胁区，同时向区应急指挥部报告，提出启动应急预案的建议，并将疫情按照规定迅速上报。,区指挥部办公室提出启动了什么建议？,启动应急预案的建议
20,2.预案启动后，根据应急处置的需要，区应急指挥部提请区人民政府发布封锁令，并在2小时内召开指挥部成员单位会议，通报疫情，对控制和扑灭疫情的相关问题进行研究决定。,区应急指挥部召开什么会议？,指挥部成员单位会议
21,3.指挥部办公室要立即调集预备队，实施对疫点、疫区、受威胁区控制措施；同时基层指挥部要立即调集疫情处理预备分队（综合应急预备队）支持。,哪个机构实施对受威胁区控制措施？,预备队
22,④对疫点内的动物圈舍、粪便、垫料、污水和其他受污染的物品、场地，在动物防疫人员监督指导下进行消毒和无害化处理。,动物防疫人员监督指导进行什么工作？,消毒||无害化处理
23,②疫区周围应当设置警示标志，疫区出入口设立监督检查消毒站，对出入人员、运载工具和污染物品进行消毒；,疫区出入口设立了什么机构？,监督检查消毒站
24,4.确认发生重大动物疫病灾害，各有关部门共同开展防控工作。对超出本区处置能力，疫情有进一步扩大趋势时，由区人民政府报请市控制重大动物疫病指挥部，启动跨区联动应急响应机制。,市控制重大动物疫病指挥部启动了什么措施？,跨区联动应急响应机制
25,疫区内所有动物及其产品按规定处理后，经过该疫病至少一个最长潜伏期无新的病例出现，彻底消毒后，由相关职能部门对疫情控制情况进行评估。经上一级动物防疫监督机构验收合格后，由区指挥部办公室向区人民政府提出终止应急措施的建议，由区人民政府宣布解除封锁，并以适合的方式向社会宣布应急结束。,由哪个机构对疫情控制情况进行评估？,相关职能部门
26,发生重大动物疫情后，民政主管部门应按《中华人民共和国公益事业捐赠法》和《救灾捐赠管理暂行办法》及国家有关政策规定，做好社会各界向疫区提供的救援物资及资金的接收、分配和使用工作。,哪个机构做好救援物资的接收？,民政主管部门
27,各涉农镇人民政府、街道办事处、建立重大动物疫情应急处理预备分队（综合应急预备队），具体实施扑杀、消毒、无害化处理等工作。,各涉农镇人民政府建立了什么组织？,重大动物疫情应急处理预备分队
28,区财政要及时安排落实紧急免疫、监测、封锁、扑杀、消毒、无害化处理、疫源追踪等应急处置的经费，同时加强对经费使用的管理和监督。,哪个机构加强对经费使用的管理？,区财政
29,卫生部门负责开展人畜共患病的人间监测，做好有关预防保障工作。各级畜牧兽医管理部门和卫生部门应及时互相通报疫情，共同开展工作。,哪个机构负责开展人畜共患病的人间监测？,卫生部门
30,各级政府应组织有关部门利用广播、影视、报刊、手册等多种形式对社会公众广泛开展重大动物疫情应急知识的普及教育，宣传动物防疫科普知识，指导群众以科学的行为和方式对待重大动物疫情。要充分发挥有关社会团体在普及动物防疫知识、科普知识方面的作用。,哪个机构宣传动物防疫科普知识？,有关部门
31,在没有发生重大动物疫情状态下，镇人民政府、街道办事处指挥部要有计划地组织演练，确保疫情应急处理预备队的应急能力。,哪个机构有计划地组织演练？,镇人民政府||街道办事处指挥部
32,2.各镇人民政府、街道办事处、功能区管委会，参照本预案，结合本辖区区域实际情况，制定本区域重大动物疫情应急预案，并报区重大动物疫病防控指挥部办公室备案。,各镇人民政府制定了什么预案？,本区域重大动物疫情应急预案
33,在区政府统一领导和指挥下，区卫生局及有关部门应该按照预案规定的职责开展工作。发生突发事件的区域内的任何单位和个人都有义务配合区政府、街道办事处、区卫生局及有关部门做好突发公共卫生事件应急处理工作。,发生突发事件的区域内的任何单位有义务配合哪些机构？,区政府||街道办事处||区卫生局||有关部门
34,区应急处理领导小组组长由区卫生局局长担任，负责领导、指挥全区突发事件应急处理工作。有关医疗卫生单位分别成立应急处理领导小组，负责突发公共卫生事件的、处理和医疗救治工作。,区卫生局局长担任什么职务？,区应急处理领导小组组长
35,分设突发事件评估组、医疗救护技术指导组、预防控制技术指导组和检测技术指导组，各组由相应的专家组成。,突发事件评估组由谁组成？,相应的专家
36,由区卫生局协调医疗卫生机构，抽调有经验的卫生专业技术人员，组建医疗卫生应急队伍。,医疗卫生机构组建了什么？,医疗卫生应急队伍
37,区卫生局建立突发事件应急处理常备机动队伍，由预防控制、医疗、卫生监督三部分组成。负责处置突发事件，参与和指导各级医疗卫生等机构进行应急处理。,区卫生局建立了什么队伍？,突发事件应急处理常备机动队伍
38,在突发事件发生后，区卫生局成立评估和技术指导组，下设突发事件评估组及医疗救护、预防控制和检测三个技术指导组；承担社会心理卫生教育和咨询工作。,区卫生局成立了什么？,评估和技术指导组
39,2.医疗救护技术指导小组：指导医院的诊断、救治和医疗单位内医务人员防护、消毒隔离等工作，负责重点病例的诊断。,谁指导医院的诊断？,医疗救护技术指导小组
40,3.疾病预防控制技术指导小组：指导防止突发事件危害进一步蔓延应该采取的预防措施、流行病学调查、疫情统计报告、消毒隔离与个人防护等预防控制工作。,哪个机构指导防止突发事件危害进一步蔓延应该采取的预防措施？,疾病预防控制技术指导小组
41,当接到一般突发公共卫生事件（蓝色预警级别）报告后，区卫生局应立即组织有关专家进行调查确认，对突发公共卫生事件进行综合评估，必要时，向区政府提出成立区级应急处理指挥部的建议。同时，迅速组织医疗、疾病控制和卫生监督机构开展突发公共卫生事件的现场处理工作，并按照有关规定，向区政府和市卫生局报告。,谁对突发公共卫生事件进行综合评估？,有关专家
42,2.当突发事件达到橙色预警、市政府决定启动市级预案时，区卫生局提请成立区级突发事件应急处理指挥部，并根据突发事件的类别和处理需要，设置由有关部门组成的若干工作组。,区卫生局提请成立什么机构？,区级突发事件应急处理指挥部
43,2.进行流行病学调查。应急队伍到达现场后，尽快制定流行病学调查计划和方案，专业技术人员按照计划和方案，对突发事件累及人群的发病情况、分布特点进行调查分析，提出有针对性的预防控制措施。,谁制定流行病学调查计划？,应急队伍
44,根据突发事件应急处理工作的进展和突发事件专家评估委员会的评估建议，市政府终止应急响应后，区卫生局报告区政府，实施执行终止应急响应。,哪个机构实施执行终止应急响应？,区政府
45,2.区卫生局建立应急物资信息管理系统。明确各种物资的储备、运行、功能状态标准，确保可迅速调配使用。,区卫生局建立了什么？,应急物资信息管理系统
46,1.为了保证突发事件应急反应机制的正常运行，区政府建立突发事件应急处置专项资金，并建立相应的补充机制。,区政府建立什么资金？,突发事件应急处置专项资金
47,2.每年公共卫生事业经费的比例占卫生事业费的比例应逐步提高；重大突发事件发生后，区卫生局应提供相应的经费支持，必要时，可向区政府申请专项拨款。,区卫生局提供了什么支持？,相应的经费
48,区卫生局协调和组织有关单位利用电视、广播、报纸、互联网、宣传画、册等各种形式对社会公众广泛开展突发事件相关知识的宣传教育，提高广大群众自我防护意识和能力。,哪个机构开展突发事件相关知识的宣传教育？,有关单位
49,（3）属地管理，分级响应。在区政府的统一领导下，建立健全分级响应、条块结合、属地管理的应急体系，建立联动协调机制，充分动员和发挥各镇街、开发区及部门作用，并依靠社会力量，形成统一指挥、反应灵敏、功能齐全、协调有序、运转高效的应急管理机制。,区政府建立了什么机制？,联动协调机制
50,由其他突发事件引发的次生突发环境事件，区环保局全力配合相关主责部门，在区政府的领导下，启动相关应急预案，做好有关应急处置工作。,区环保局全力配合什么部门？,相关主责部门
51,2.1.1成立江州市中海区突发环境事件应急指挥部（以下简称区指挥部），区指挥部总指挥由分管环保工作的副区长担任，副总指挥由区环保局局长担任。,区指挥部总指挥由谁担任？,分管环保工作的副区长
52,2.2.1 区指挥部下设中海区突发环境事件应急指挥部办公室（以下简称区指挥部办公室），作为区指挥部的日常办事机构。区指挥部办公室设在区环保局，由区环保局局长兼任办公室主任。,区指挥部下设了什么机构？,中海区突发环境事件应急指挥部办公室
53,2.2.2区指挥部办公室的主要职责是：负责区指挥部的日常工作；负责本区突发环境事件的信息编写、报送；组织修订区突发环境事件应急预案；承办区指挥部交办的其他工作。,哪个机构负责区指挥部的日常工作？,区指挥部办公室
54,公安中海分局：负责突发环境事件影响区域实施治安警戒，维护现场秩序；组织人员疏散、撤离；负责对涉嫌重大责任事故犯罪的突发环境事件责任人的监控、立案侦查和逃逸追捕；协助环境污染与生态破坏、废弃危险化学品、危险废物等突发环境事件的应急处置。,哪个机构负责对突发环境事件责任人的监控？,公安中海分局
55,交警中海支队：负责环境应急事件现场交通的指挥、疏导工作，根据道路和交通流量的变化，对机动车、非机动车、行人采取疏导、限行等措施。,哪个机构负责环境应急事件现场交通的指挥？,交警中海支队
56,区水务局：负责提供相关水文资料，负责协调河流的调水、配水；负责突发环境事件发生时，排水系统排水的控制；负责对水利工程、库区及自用船舶发生的突发环境事件进行处置；配合有关部门做好鱼类等水生生物死亡事件的调查处置工作；负责做好有关河道、水库等水体功能区水体环境指标的现场应急监测。,哪个机构负责提供相关水文资料？,区水务局
57,区气象局：负责提供气象监测预报服务，必要时在突发环境事件区域建立移动气象站，开展加密观测，提供现场气象监测预报信息。,哪个机构负责提供气象监测预报服务？,区气象局
58,区安监局：负责组织因生产安全事故引发的次生突发环境事件的调查和应急处置；依法对涉及危险化学品生产、使用、储存、经营的单位进行监督管理。,哪个机构负责组织因生产安全事故引发的次生突发环境事件的调查？,区安监局
59,区发改委：负责突发环境事件应急处置体系基本建设项目的审批、核准、备案与管理，参与突发环境事件处置后的恢复重建工作，。,哪个机构负责突发环境事件应急处置体系基本建设项目的审批？,区发改委
60,区民政局：负责突发环境事件受灾群众的紧急转移、安置工作，负责对特困群众进行生活、医疗救助；组织、协调有关部门和社会团体开展社会捐助工作，接受、分配国内外企业、个人以及外国政府、境外组织捐助的资金和物资，做好款物管理和发放工作；协调做好死亡人员的处理和其他善后工作。,哪个机构负责突发环境事件受灾群众的紧急转移？,区民政局
61,区农经委：负责组织农业环境污染、畜禽养殖业突发环境事件的应急处置工作，负责突发环境事件引发的动物疫情的监测、调查、控制及扑灭等工作。,哪个机构负责突发环境事件引发的动物疫情的监测？,区农经委
62,区市容园林委：负责对城市建成区内危害园林植物的有害生物进行监测预防，组织因生态破坏事故造成园林绿地破坏后的恢复重建工作。,哪个机构负责对城市建成区内危害园林植物的有害生物进行监测预防？,区市容园林委
63,区委宣传部：负责指导有关部门发布突发环境事件信息，及时引导舆论；协调相关新闻单位做好对外宣传工作。,哪个机构负责指导有关部门？,区委宣传部
64,各镇政府、街道办、开发区管委会按照区指挥部的统一部署和要求，组织协调本地有关部门开展突发环境事件处置工作；积极配合应急专业机构的现场处置、采样监测、物资调集、专用设备供给等工作；组织实施辖区内突发环境事件的善后处置和环境修复工作。,哪些机构组织实施辖区内突发环境事件的善后处置？,各镇政府||街道办||开发区管委会
65,区指挥部办公室组建突发环境事件专家库，根据应急处置需要从中确定人选建立现场专家组。,区指挥部办公室组建了什么机构？,突发环境事件专家库
66,专家组负责研判突发环境事件的危害范围、发展态势等，提出现场环境应急处置和安全防护措施，指导后期调查评估工作，为环境应急处置工作提供决策依据和技术指导。,哪个组织负责研判突发环境事件的危害范围？,专家组
67,发生（或可能发生）特别重大突发环境事件，经国务院授权，由市人民政府负责发布红色预警。发生（或可能发生）重大、较大突发环境事件，经市人民政府批准后，由市指挥部办公室协调市政府新闻办组织发布橙色、黄色预警。发生（或可能发生）一般突发环境事件，由区政府负责发布蓝色预警，并报市应急指挥中心、市指挥部办公室。根据事态发展，适时调整预警级别并重新报告、通报和发布有关突发事件预测信息和分析评估结果。预警的解除按照谁发布、谁解除的原则，由预警发布单位通报解除。,哪个机构负责发布红色预警？,市人民政府
68,（3）责令各专业应急救援队伍进入应急状态，环境监测部门立即开展环境监测，随时掌握并报告事态进展情况。,哪个机构开展环境监测？,环境监测部门
69,区政府在接到突发环境事件报告后，应立即组织有关部门对事件进行调查核实，查明引发事件的污染源，确定污染事件的基本情况。区政府负责一般突发环境事件的调查核实，必要时，可请求市环保局给予帮助。对于较大、重大突发环境事件，由区政府组织先期调查核实，市环保局负责最终调查核实。对于特别重大突发环境事件，在国家突发环境事件应急指挥机构成立前，配合市指挥部负责组织先期调查核实。,哪个机构负责最终调查核实？,市环保局
70,4.2.1 突发环境事件发生后，事发单位应立即启动本单位应急预案，全力组织开展救援；采取污染防治措施，控制危险源，严防污染物进入外环境，防止次生灾害的发生和危害的扩大。,哪个单位组织开展救援？,事发单位
71,2.1.4必要时，由领导小组会同有关部门报请市教委应急指挥中心，启动江州市教育系统大规模群体性突发事件应急预案。,哪个机构启动江州市教育系统大规模群体性突发事件应急预案？,市教委应急指挥中心
72,若发生重大事件，相应处置工作组人员要及时深入事发单位，现场指导，并采取有效措施，控制事态的蔓延和扩大。对在群体性事件中别有用心、蓄意破坏、危及公共安全的极个别人，要报请公安部门，严格控制和监视。各学校立即启动本单位的应急预案，严格校门管理，防止学生串联和外出集会、游行，防止社会闲杂人员进入；单位的党政领导、班主任要深入学生班级、面对面地做好学生的教育疏导工作。,谁要做好学生的教育疏导工作？,党政领导||班主任
73,较大事件发生后，处于局部聚集状态时，学校有关部门应立即向学校党政领导报告，学校党政领导立即研究决定启动应急预案并将有关情况向区教育局应急领导小组报告。同时，根据事件引发原因，通知与事件直接有关的部门负责人及其主管校领导到场，对原因清楚、能够立即处理的问题，要及时依法妥善处理；对原因不详、需要一定时间进行调查处理的，要通过班主任向学生做好解释工作，使学生及时了解事实真相，尽快实现思想转变，理解和支持学校的决策和决定，与学校保持一致，并对聚集学生进行分隔、疏导和疏散，恢复正常秩序。相应处置工作组人员及时深入事发学校，现场指导处置工作。,哪个机构对聚集学生进行分隔？,学校有关部门
74,（1）学校、幼儿园突发火灾事故，要立即启动应急预案，全力组织人员疏散和自救工作，同时，要在第一时间内向当地消防119指挥中心报警。局主要领导和相关科室要在第一时间亲临现场组织教职员工开展救人和灭火工作，并在消防队伍到现场后，主动提供有关信息，配合消防人员救人和灭火抢险工作；,谁组织人员疏散？,学校||幼儿园
75,（1）中小学校和幼儿园要加强对学生的教育和管理，及时排查拥挤踩踏事故隐患，坚决避免拥挤踩踏事故发生；,谁要加强对学生的教育？,中小学校||幼儿园
76,（2）学校楼梯间发生拥挤踩踏事故，事发学校要迅速开展现场疏导和救护工作；并立即向医疗急救部门报告求援，向区教育局主要领导报告；,哪个机构开展现场疏导？,事发学校
77,（3）局主要领导和相关科室在第一时间到达一线指挥，根据事故启动应急预案，控制局势，制止拥挤，做好人员疏散工作，组织人员对受伤者进行人工呼吸、止血等应急抢救处置，尽快将伤病员送往医院抢救，妥善安置伤病员，必要时请求区委、区政府支援帮助；,哪个机构安置伤病员？,局主要领导||相关科室
78,（6）对发生有毒物质污染可能危及师生生命财产安全的，学校应立即采取相应有效措施，控制污染事故蔓延，并及时报告区政府启动相应应急预案，必要时应疏散或组织师生撤离；,哪个机构控制污染事故蔓延？,学校
79,（1）学校校园发生恶性交通事故，遇有学生、教职工死亡、受伤等情况，学校领导要在第一时间赶到现场，组织抢救，立即向医疗急救部门求助，向公安部门报告，并向区教育局报告，区教育局主要领导和有关科室立即前往现场；,谁组织抢救？,学校领导
80,（3）学校有关部门协助公安部门及时查明事故情况；涉及外籍师生的，要尽快按规定报告各级外事部门。,哪个机构查明事故情况？,公安部门
81,（1）学校举办的各类大型文体活动，必须按有关规定做好专项安全保卫方案，落实安全保卫措施；,学校落实了什么措施？,安全保卫措施
82,（3）活动组织者和安全工作负责人要稳定现场秩序，根据室内、室外不同情况组织师生有序疏散逃生，担负起保护学生生命安全的责任，尽力避免继发性灾害；,谁组织师生有序疏散逃生？,活动组织者||安全工作负责人
83,（4）区教育局主要领导和学校领导要在第一时间赶赴现场，亲临一线，靠前指挥，组织疏导、抢救伤病员，要在第一时间向区政府和公安云川分局等有关部门报告，积极争取区委、区政府和有关部门的支援帮助，并向市教委报告。,哪个机构抢救伤病员？,区教育局主要领导||学校领导
84,（1）学校后勤各部门要做好教学楼、宿舍、食堂、服务中心等重点场所以及供水、供电、供暖和通讯保障部门的突发事件防范工作，对重点场所和关键部位要加强检查，严格落实各项安全管理制度和操作规程，确保各种服务设施的安全运行，保障师生员工的身体健康和生命安全；,哪个机构落实各项安全管理制度？,学校后勤各部门
85,（2）发生供水管漏水、电路漏电、断电、燃气泄漏等重大事故时，区教育局主要领导和学校有关领导要立即到现场，组织人员迅速采取应急措施，进行抢修和抢救，控制事态，必要时请求当地有关专业部门支持，力争在最短的时间内恢复正常；,谁进行抢修？,区教育局主要领导||学校有关领导
86,（2）分级负责。按照“谁主管谁负责，谁运营谁负责”的原则，建立和完善安全责任制。各部门应积极支持和协助应急处置工作。,哪个机构协助应急处置工作？,各部门
87,2.1网络与信息安全应急领导组组长：区教育局主管安全的领导，成员：教育局信息中心所有人员。负责网络与信息安全应急响应工作的整体规划、组织协调和决策指挥。,谁担任网络与信息安全应急领导组组长？,区教育局主管安全的领导
88,（2）应急领导小组接到报告后，应迅速召开应急领导小组会议，研究确定网络与信息安全突发公共事件的等级，根据具体情况启动相应的应急预案，并向上级相关部门进行汇报。,应急领导小组召开了什么会议？,应急领导小组会议
89,（2）发现在网上出现非法信息时，网站管理员立即向信息安全领导小组通报情况，并作好记录。清理非法信息，采取必要的安全防范措施，将网站、网页重新投入使用；情况紧急的，应先及时采取删除等处理措施，再按程序报告。,谁清理非法信息？,网站管理员
90,（4）日常应急办公室负责恢复与重建被攻击或被破坏的系统，恢复系统数据，并及时追查非法信息来源。,哪个机构负责重建被攻击或被破坏的系统？,日常应急办公室
